Country,Group,Year,In,Out,Net,iso_alpha
Lebanon,Arabs,1996,1284211,1471201,-186990,LBN
Lebanon,Arabs,1997,1352116,1504190,-152074,LBN
Lebanon,Arabs,1998,1477189,1650379,-173190,LBN
Lebanon,Arabs,1999,2238857,2515533,-276676,LBN
Lebanon,Arabs,2000,1907894,2094911,-187017,LBN
Lebanon,Arabs,2001,1965300,2210391,-245091,LBN
Lebanon,Arabs,2002,2321336,2462785,-141449,LBN
Lebanon,Arabs,2003,2413357,2629292,-215935,LBN
Lebanon,Arabs,2004,2652169,2796599,-144430,LBN
Lebanon,Arabs,2005,2286496,2414430,-127934,LBN
Lebanon,Arabs,2006,2467256,2503757,-36501,LBN
Lebanon,Arabs,2007,2421516,2509551,-88035,LBN
Lebanon,Arabs,2008,2560786,2681535,-120749,LBN
Lebanon,Arabs,2009,2897837,3027447,-129610,LBN
Lebanon,Arabs,2010,3320484,3481586,-161102,LBN
Lebanon,Arabs,2011,2497481,2565365,-67884,LBN
Lebanon,Arabs,2012,2244216,2293607,-49391,LBN
Lebanon,Arabs,2013,2316704,2316704,0,LBN
Lebanon,Arabs,2014,2563871,2594404,-30533,LBN
Lebanon,Arabs,2015,2619002,2662109,-43107,LBN
Lebanon,Arabs,2016,2234899,2235256,-357,LBN
Lebanon,Arabs,2017,2994910,3017332,-22422,LBN
Lebanon,Arabs,2018,3484268,3515428,-31160,LBN
Syria,Arabs,1996,1841540,1481784,359756,SYR
Syria,Arabs,1997,1648379,1280126,368253,SYR
Syria,Arabs,1998,2271007,1909923,361084,SYR
Syria,Arabs,1999,3354859,2920980,433879,SYR
Syria,Arabs,2000,2861720,2569566,292154,SYR
Syria,Arabs,2001,2900930,2475472,425458,SYR
Syria,Arabs,2002,2927916,2680919,246997,SYR
Syria,Arabs,2003,3145029,2921778,223251,SYR
Syria,Arabs,2004,3414192,3412377,1815,SYR
Syria,Arabs,2005,2371572,2433125,-61553,SYR
Syria,Arabs,2006,1938827,2014540,-75713,SYR
Syria,Arabs,2007,2028170,1754795,273375,SYR
Syria,Arabs,2008,2507037,2093936,413101,SYR
Syria,Arabs,2009,3371876,2930476,441400,SYR
Syria,Arabs,2010,4031514,3692960,338554,SYR
Syria,Arabs,2011,3890394,3675386,215008,SYR
Syria,Arabs,2012,4116463,3658197,458266,SYR
Syria,Arabs,2013,4459842,4459842,0,SYR
Syria,Arabs,2014,3614539,3526617,87922,SYR
Syria,Arabs,2015,1956194,1996253,-40059,SYR
Syria,Arabs,2016,1802598,1765940,36658,SYR
Syria,Arabs,2017,2377368,2387596,-10228,SYR
Syria,Arabs,2018,2687509,2796432,-108923,SYR
Egypt,Arabs,1996,20439,27958,-7519,EGY
Egypt,Arabs,1997,30135,53036,-22901,EGY
Egypt,Arabs,1998,39482,33683,5799,EGY
Egypt,Arabs,1999,34363,39781,-5418,EGY
Egypt,Arabs,2000,35691,40752,-5061,EGY
Egypt,Arabs,2001,36358,40862,-4504,EGY
Egypt,Arabs,2002,38571,42843,-4272,EGY
Egypt,Arabs,2003,39022,42680,-3658,EGY
Egypt,Arabs,2004,46056,50527,-4471,EGY
Egypt,Arabs,2005,34271,37457,-3186,EGY
Egypt,Arabs,2006,38678,45579,-6901,EGY
Egypt,Arabs,2007,29585,31610,-2025,EGY
Egypt,Arabs,2008,41657,41899,-242,EGY
Egypt,Arabs,2009,57379,57360,19,EGY
Egypt,Arabs,2010,67773,68992,-1219,EGY
Egypt,Arabs,2011,62825,64871,-2046,EGY
Egypt,Arabs,2012,64017,66356,-2339,EGY
Egypt,Arabs,2013,63578,63578,0,EGY
Egypt,Arabs,2014,69179,70391,-1212,EGY
Egypt,Arabs,2015,75524,77024,-1500,EGY
Egypt,Arabs,2016,83337,83494,-157,EGY
Egypt,Arabs,2017,82282,80611,1671,EGY
Egypt,Arabs,2018,92173,89310,2863,EGY
Irak,Arabs,1996,2950,2774,176,IRQ
Irak,Arabs,1997,3357,3291,66,IRQ
Irak,Arabs,1998,4057,4056,1,IRQ
Irak,Arabs,1999,5956,6493,-537,IRQ
Irak,Arabs,2000,6183,7222,-1039,IRQ
Irak,Arabs,2001,10759,11563,-804,IRQ
Irak,Arabs,2002,13467,13669,-202,IRQ
Irak,Arabs,2003,7863,10247,-2384,IRQ
Irak,Arabs,2004,17159,18589,-1430,IRQ
Irak,Arabs,2005,20677,20861,-184,IRQ
Irak,Arabs,2006,60414,59827,587,IRQ
Irak,Arabs,2007,83159,82921,238,IRQ
Irak,Arabs,2008,72805,73239,-434,IRQ
Irak,Arabs,2009,101561,102298,-737,IRQ
Irak,Arabs,2010,129847,128477,1370,IRQ
Irak,Arabs,2011,129294,128425,869,IRQ
Irak,Arabs,2012,126982,128334,-1352,IRQ
Irak,Arabs,2013,141986,141986,0,IRQ
Irak,Arabs,2014,189156,179403,9753,IRQ
Irak,Arabs,2015,191578,189530,2048,IRQ
Irak,Arabs,2016,236013,236601,-588,IRQ
Irak,Arabs,2017,226930,230099,-3169,IRQ
Irak,Arabs,2018,211589,214785,-3196,IRQ
Jordan,Arabs,1996,47946,48655,-709,JOR
Jordan,Arabs,1997,57690,55344,2346,JOR
Jordan,Arabs,1998,53640,50507,3133,JOR
Jordan,Arabs,1999,61013,59376,1637,JOR
Jordan,Arabs,2000,69625,65389,4236,JOR
Jordan,Arabs,2001,74450,75153,-703,JOR
Jordan,Arabs,2002,81705,81716,-11,JOR
Jordan,Arabs,2003,87798,87625,173,JOR
Jordan,Arabs,2004,92840,92784,56,JOR
Jordan,Arabs,2005,135227,134152,1075,JOR
Jordan,Arabs,2006,144166,143327,839,JOR
Jordan,Arabs,2007,127042,127354,-312,JOR
Jordan,Arabs,2008,180887,180418,469,JOR
Jordan,Arabs,2009,223793,222674,1119,JOR
Jordan,Arabs,2010,274615,274652,-37,JOR
Jordan,Arabs,2011,129640,130819,-1179,JOR
Jordan,Arabs,2012,89100,89485,-385,JOR
Jordan,Arabs,2013,78018,78018,0,JOR
Jordan,Arabs,2014,73822,73327,495,JOR
Jordan,Arabs,2015,77960,78035,-75,JOR
Jordan,Arabs,2016,86693,85864,829,JOR
Jordan,Arabs,2017,90077,89854,223,JOR
Jordan,Arabs,2018,92920,92174,746,JOR
Hadramout,Arabs,1996,70,46,24,0
Hadramout,Arabs,1997,68,61,7,0
Hadramout,Arabs,1998,5,4,1,0
Hadramout,Arabs,1999,17,1,16,0
Hadramout,Arabs,2000,2,5,-3,0
Hadramout,Arabs,2001,0,0,0,0
Hadramout,Arabs,2002,0,0,0,0
Hadramout,Arabs,2003,0,0,0,0
Hadramout,Arabs,2004,0,0,0,0
Hadramout,Arabs,2005,0,0,0,0
Hadramout,Arabs,2006,0,0,0,0
Hadramout,Arabs,2007,0,0,0,0
Hadramout,Arabs,2008,0,0,0,0
Hadramout,Arabs,2009,0,0,0,0
Hadramout,Arabs,2010,0,0,0,0
Hadramout,Arabs,2011,0,0,0,0
Hadramout,Arabs,2012,0,0,0,0
Hadramout,Arabs,2013,0,0,0,0
Hadramout,Arabs,2014,0,0,0,0
Hadramout,Arabs,2015,0,0,0,0
Hadramout,Arabs,2016,0,0,0,0
Hadramout,Arabs,2017,0,0,0,0
Hadramout,Arabs,2018,0,0,0,0
Saudi Arabia,Arabs,1996,33342,32775,567,SAU
Saudi Arabia,Arabs,1997,59726,55252,4474,SAU
Saudi Arabia,Arabs,1998,69331,66151,3180,SAU
Saudi Arabia,Arabs,1999,82646,80089,2557,SAU
Saudi Arabia,Arabs,2000,98343,96868,1475,SAU
Saudi Arabia,Arabs,2001,116938,117530,-592,SAU
Saudi Arabia,Arabs,2002,144569,144017,552,SAU
Saudi Arabia,Arabs,2003,162230,161689,541,SAU
Saudi Arabia,Arabs,2004,200899,200980,-81,SAU
Saudi Arabia,Arabs,2005,124687,128219,-3532,SAU
Saudi Arabia,Arabs,2006,93570,92880,690,SAU
Saudi Arabia,Arabs,2007,63918,64092,-174,SAU
Saudi Arabia,Arabs,2008,219749,100474,119275,SAU
Saudi Arabia,Arabs,2009,173294,172394,900,SAU
Saudi Arabia,Arabs,2010,191066,191509,-443,SAU
Saudi Arabia,Arabs,2011,111701,112410,-709,SAU
Saudi Arabia,Arabs,2012,72658,74472,-1814,SAU
Saudi Arabia,Arabs,2013,40958,40958,0,SAU
Saudi Arabia,Arabs,2014,45788,45094,694,SAU
Saudi Arabia,Arabs,2015,47831,48067,-236,SAU
Saudi Arabia,Arabs,2016,40391,39838,553,SAU
Saudi Arabia,Arabs,2017,64270,65400,-1130,SAU
Saudi Arabia,Arabs,2018,61547,58130,3417,SAU
Yemen,Arabs,1996,1476,1493,-17,YEM
Yemen,Arabs,1997,2239,2227,12,YEM
Yemen,Arabs,1998,2479,2464,15,YEM
Yemen,Arabs,1999,2734,2696,38,YEM
Yemen,Arabs,2000,2808,2811,-3,YEM
Yemen,Arabs,2001,3414,3382,32,YEM
Yemen,Arabs,2002,4118,4076,42,YEM
Yemen,Arabs,2003,4410,4384,26,YEM
Yemen,Arabs,2004,4917,4912,5,YEM
Yemen,Arabs,2005,3500,3514,-14,YEM
Yemen,Arabs,2006,2960,2980,-20,YEM
Yemen,Arabs,2007,2187,2170,17,YEM
Yemen,Arabs,2008,3671,3594,77,YEM
Yemen,Arabs,2009,6108,6008,100,YEM
Yemen,Arabs,2010,7109,7057,52,YEM
Yemen,Arabs,2011,5357,5290,67,YEM
Yemen,Arabs,2012,5633,5647,-14,YEM
Yemen,Arabs,2013,5268,5268,0,YEM
Yemen,Arabs,2014,5105,5058,47,YEM
Yemen,Arabs,2015,3819,3574,245,YEM
Yemen,Arabs,2016,4498,4590,-92,YEM
Yemen,Arabs,2017,4747,4828,-81,YEM
Yemen,Arabs,2018,4658,4862,-204,YEM
Djibouti,Arabs,1996,75,13,62,DJI
Djibouti,Arabs,1997,14,30,-16,DJI
Djibouti,Arabs,1998,26,30,-4,DJI
Djibouti,Arabs,1999,17,33,-16,DJI
Djibouti,Arabs,2000,36,31,5,DJI
Djibouti,Arabs,2001,24,21,3,DJI
Djibouti,Arabs,2002,104,97,7,DJI
Djibouti,Arabs,2003,63,63,0,DJI
Djibouti,Arabs,2004,42,40,2,DJI
Djibouti,Arabs,2005,14,15,-1,DJI
Djibouti,Arabs,2006,15,17,-2,DJI
Djibouti,Arabs,2007,11,10,1,DJI
Djibouti,Arabs,2008,35,30,5,DJI
Djibouti,Arabs,2009,64,67,-3,DJI
Djibouti,Arabs,2010,54,53,1,DJI
Djibouti,Arabs,2011,42,44,-2,DJI
Djibouti,Arabs,2012,68,68,0,DJI
Djibouti,Arabs,2013,27,27,0,DJI
Djibouti,Arabs,2014,25,24,1,DJI
Djibouti,Arabs,2015,33,31,2,DJI
Djibouti,Arabs,2016,49,49,0,DJI
Djibouti,Arabs,2017,47,48,-1,DJI
Djibouti,Arabs,2018,56,55,1,DJI
Somalia,Arabs,1996,118,115,3,SOM
Somalia,Arabs,1997,80,76,4,SOM
Somalia,Arabs,1998,90,88,2,SOM
Somalia,Arabs,1999,80,89,-9,SOM
Somalia,Arabs,2000,86,84,2,SOM
Somalia,Arabs,2001,106,123,-17,SOM
Somalia,Arabs,2002,149,151,-2,SOM
Somalia,Arabs,2003,125,147,-22,SOM
Somalia,Arabs,2004,112,162,-50,SOM
Somalia,Arabs,2005,158,188,-30,SOM
Somalia,Arabs,2006,217,236,-19,SOM
Somalia,Arabs,2007,152,158,-6,SOM
Somalia,Arabs,2008,245,247,-2,SOM
Somalia,Arabs,2009,223,226,-3,SOM
Somalia,Arabs,2010,402,346,56,SOM
Somalia,Arabs,2011,308,231,77,SOM
Somalia,Arabs,2012,424,278,146,SOM
Somalia,Arabs,2013,512,512,0,SOM
Somalia,Arabs,2014,403,410,-7,SOM
Somalia,Arabs,2015,385,365,20,SOM
Somalia,Arabs,2016,382,369,13,SOM
Somalia,Arabs,2017,546,524,22,SOM
Somalia,Arabs,2018,436,406,30,SOM
Eritria,Arabs,1996,160,110,50,ERI
Eritria,Arabs,1997,292,198,94,ERI
Eritria,Arabs,1998,280,359,-79,ERI
Eritria,Arabs,1999,474,535,-61,ERI
Eritria,Arabs,2000,554,565,-11,ERI
Eritria,Arabs,2001,720,815,-95,ERI
Eritria,Arabs,2002,856,887,-31,ERI
Eritria,Arabs,2003,907,909,-2,ERI
Eritria,Arabs,2004,1019,993,26,ERI
Eritria,Arabs,2005,781,761,20,ERI
Eritria,Arabs,2006,591,624,-33,ERI
Eritria,Arabs,2007,369,393,-24,ERI
Eritria,Arabs,2008,578,604,-26,ERI
Eritria,Arabs,2009,709,688,21,ERI
Eritria,Arabs,2010,616,648,-32,ERI
Eritria,Arabs,2011,468,461,7,ERI
Eritria,Arabs,2012,305,327,-22,ERI
Eritria,Arabs,2013,253,253,0,ERI
Eritria,Arabs,2014,252,253,-1,ERI
Eritria,Arabs,2015,227,257,-30,ERI
Eritria,Arabs,2016,193,205,-12,ERI
Eritria,Arabs,2017,228,244,-16,ERI
Eritria,Arabs,2018,253,257,-4,ERI
Sudan,Arabs,1996,1454,1701,-247,SDN
Sudan,Arabs,1997,2404,2470,-66,SDN
Sudan,Arabs,1998,2815,2854,-39,SDN
Sudan,Arabs,1999,3201,3421,-220,SDN
Sudan,Arabs,2000,2992,3492,-500,SDN
Sudan,Arabs,2001,3455,4076,-621,SDN
Sudan,Arabs,2002,3322,3692,-370,SDN
Sudan,Arabs,2003,3242,3877,-635,SDN
Sudan,Arabs,2004,3945,4901,-956,SDN
Sudan,Arabs,2005,2799,4020,-1221,SDN
Sudan,Arabs,2006,2888,5578,-2690,SDN
Sudan,Arabs,2007,2373,2975,-602,SDN
Sudan,Arabs,2008,3163,3901,-738,SDN
Sudan,Arabs,2009,4377,5287,-910,SDN
Sudan,Arabs,2010,4723,6692,-1969,SDN
Sudan,Arabs,2011,3813,5990,-2177,SDN
Sudan,Arabs,2012,3720,5821,-2101,SDN
Sudan,Arabs,2013,3349,3349,0,SDN
Sudan,Arabs,2014,3099,4151,-1052,SDN
Sudan,Arabs,2015,3392,4126,-734,SDN
Sudan,Arabs,2016,3318,3917,-599,SDN
Sudan,Arabs,2017,3856,4131,-275,SDN
Sudan,Arabs,2018,3611,4362,-751,SDN
Bahrain,Arabs,1996,2311,2331,-20,BHR
Bahrain,Arabs,1997,4470,4227,243,BHR
Bahrain,Arabs,1998,6151,5617,534,BHR
Bahrain,Arabs,1999,6304,6020,284,BHR
Bahrain,Arabs,2000,8024,7609,415,BHR
Bahrain,Arabs,2001,13360,13467,-107,BHR
Bahrain,Arabs,2002,20947,20770,177,BHR
Bahrain,Arabs,2003,25002,24992,10,BHR
Bahrain,Arabs,2004,27184,27103,81,BHR
Bahrain,Arabs,2005,17624,17577,47,BHR
Bahrain,Arabs,2006,10012,10099,-87,BHR
Bahrain,Arabs,2007,12021,12065,-44,BHR
Bahrain,Arabs,2008,17424,17176,248,BHR
Bahrain,Arabs,2009,25218,25035,183,BHR
Bahrain,Arabs,2010,25096,25257,-161,BHR
Bahrain,Arabs,2011,9493,9485,8,BHR
Bahrain,Arabs,2012,7365,7624,-259,BHR
Bahrain,Arabs,2013,5481,5481,0,BHR
Bahrain,Arabs,2014,7576,7440,136,BHR
Bahrain,Arabs,2015,10222,10247,-25,BHR
Bahrain,Arabs,2016,10195,10173,22,BHR
Bahrain,Arabs,2017,8756,8842,-86,BHR
Bahrain,Arabs,2018,7956,7871,85,BHR
Kuwait,Arabs,1996,22077,22113,-36,KWT
Kuwait,Arabs,1997,34925,34079,846,KWT
Kuwait,Arabs,1998,40191,39142,1049,KWT
Kuwait,Arabs,1999,41058,40994,64,KWT
Kuwait,Arabs,2000,47630,46367,1263,KWT
Kuwait,Arabs,2001,52907,53342,-435,KWT
Kuwait,Arabs,2002,69516,69130,386,KWT
Kuwait,Arabs,2003,55959,56032,-73,KWT
Kuwait,Arabs,2004,79830,79776,54,KWT
Kuwait,Arabs,2005,64193,64365,-172,KWT
Kuwait,Arabs,2006,50108,49810,298,KWT
Kuwait,Arabs,2007,44534,44644,-110,KWT
Kuwait,Arabs,2008,68936,68209,727,KWT
Kuwait,Arabs,2009,102537,102194,343,KWT
Kuwait,Arabs,2010,95824,96300,-476,KWT
Kuwait,Arabs,2011,61756,61622,134,KWT
Kuwait,Arabs,2012,40121,41165,-1044,KWT
Kuwait,Arabs,2013,29598,29598,0,KWT
Kuwait,Arabs,2014,31970,31733,237,KWT
Kuwait,Arabs,2015,31953,32156,-203,KWT
Kuwait,Arabs,2016,25653,25084,569,KWT
Kuwait,Arabs,2017,40886,41368,-482,KWT
Kuwait,Arabs,2018,40382,39527,855,KWT
Oman,Arabs,1996,842,851,-9,OMN
Oman,Arabs,1997,1717,1376,341,OMN
Oman,Arabs,1998,2249,2047,202,OMN
Oman,Arabs,1999,2546,2544,2,OMN
Oman,Arabs,2000,2205,2193,12,OMN
Oman,Arabs,2001,2757,2741,16,OMN
Oman,Arabs,2002,4371,4392,-21,OMN
Oman,Arabs,2003,4424,4424,0,OMN
Oman,Arabs,2004,5392,5377,15,OMN
Oman,Arabs,2005,3742,3719,23,OMN
Oman,Arabs,2006,3072,3077,-5,OMN
Oman,Arabs,2007,2435,2419,16,OMN
Oman,Arabs,2008,4012,3997,15,OMN
Oman,Arabs,2009,5717,5755,-38,OMN
Oman,Arabs,2010,6639,6656,-17,OMN
Oman,Arabs,2011,4494,4452,42,OMN
Oman,Arabs,2012,3128,3200,-72,OMN
Oman,Arabs,2013,2189,2189,0,OMN
Oman,Arabs,2014,2035,2028,7,OMN
Oman,Arabs,2015,2700,2741,-41,OMN
Oman,Arabs,2016,3182,3147,35,OMN
Oman,Arabs,2017,4521,4536,-15,OMN
Oman,Arabs,2018,4301,4330,-29,OMN
Qatar,Arabs,1996,2068,1876,192,QAT
Qatar,Arabs,1997,3440,3149,291,QAT
Qatar,Arabs,1998,4620,4391,229,QAT
Qatar,Arabs,1999,4524,4425,99,QAT
Qatar,Arabs,2000,4802,4672,130,QAT
Qatar,Arabs,2001,5409,5386,23,QAT
Qatar,Arabs,2002,7986,7934,52,QAT
Qatar,Arabs,2003,10728,10664,64,QAT
Qatar,Arabs,2004,14819,14794,25,QAT
Qatar,Arabs,2005,12064,12126,-62,QAT
Qatar,Arabs,2006,11666,11573,93,QAT
Qatar,Arabs,2007,8380,8620,-240,QAT
Qatar,Arabs,2008,14093,13965,128,QAT
Qatar,Arabs,2009,19358,19307,51,QAT
Qatar,Arabs,2010,18436,18540,-104,QAT
Qatar,Arabs,2011,11171,11293,-122,QAT
Qatar,Arabs,2012,5124,5381,-257,QAT
Qatar,Arabs,2013,1800,1800,0,QAT
Qatar,Arabs,2014,2827,2782,45,QAT
Qatar,Arabs,2015,3610,3652,-42,QAT
Qatar,Arabs,2016,2865,2812,53,QAT
Qatar,Arabs,2017,5578,5456,122,QAT
Qatar,Arabs,2018,12256,11621,635,QAT
United Arab Emirates,Arabs,1996,4669,4723,-54,ARE
United Arab Emirates,Arabs,1997,8603,8263,340,ARE
United Arab Emirates,Arabs,1998,10142,9191,951,ARE
United Arab Emirates,Arabs,1999,9308,9075,233,ARE
United Arab Emirates,Arabs,2000,9742,9618,124,ARE
United Arab Emirates,Arabs,2001,10269,10389,-120,ARE
United Arab Emirates,Arabs,2002,14127,14059,68,ARE
United Arab Emirates,Arabs,2003,20261,20202,59,ARE
United Arab Emirates,Arabs,2004,26837,26699,138,ARE
United Arab Emirates,Arabs,2005,17044,16963,81,ARE
United Arab Emirates,Arabs,2006,16051,16118,-67,ARE
United Arab Emirates,Arabs,2007,12273,11686,587,ARE
United Arab Emirates,Arabs,2008,24673,24715,-42,ARE
United Arab Emirates,Arabs,2009,42974,42838,136,ARE
United Arab Emirates,Arabs,2010,46923,46906,17,ARE
United Arab Emirates,Arabs,2011,32058,31543,515,ARE
United Arab Emirates,Arabs,2012,17742,19328,-1586,ARE
United Arab Emirates,Arabs,2013,6709,6709,0,ARE
United Arab Emirates,Arabs,2014,7660,7382,278,ARE
United Arab Emirates,Arabs,2015,8235,8506,-271,ARE
United Arab Emirates,Arabs,2016,2114,2314,-200,ARE
United Arab Emirates,Arabs,2017,1891,1947,-56,ARE
United Arab Emirates,Arabs,2018,1770,1659,111,ARE
Algeria,Arabs,1996,1882,1825,57,DZA
Algeria,Arabs,1997,1988,2123,-135,DZA
Algeria,Arabs,1998,1635,1717,-82,DZA
Algeria,Arabs,1999,1669,1682,-13,DZA
Algeria,Arabs,2000,2239,2318,-79,DZA
Algeria,Arabs,2001,3659,3653,6,DZA
Algeria,Arabs,2002,3925,3884,41,DZA
Algeria,Arabs,2003,3419,3416,3,DZA
Algeria,Arabs,2004,5194,5088,106,DZA
Algeria,Arabs,2005,2988,2914,74,DZA
Algeria,Arabs,2006,3247,3325,-78,DZA
Algeria,Arabs,2007,2281,2281,0,DZA
Algeria,Arabs,2008,3203,3147,56,DZA
Algeria,Arabs,2009,4648,4544,104,DZA
Algeria,Arabs,2010,5377,5446,-69,DZA
Algeria,Arabs,2011,4223,4191,32,DZA
Algeria,Arabs,2012,4005,4023,-18,DZA
Algeria,Arabs,2013,4009,4009,0,DZA
Algeria,Arabs,2014,3800,3850,-50,DZA
Algeria,Arabs,2015,4356,4380,-24,DZA
Algeria,Arabs,2016,5192,5035,157,DZA
Algeria,Arabs,2017,5860,5893,-33,DZA
Algeria,Arabs,2018,7213,7104,109,DZA
Lybia,Arabs,1996,1313,1307,6,LBY
Lybia,Arabs,1997,2162,2147,15,LBY
Lybia,Arabs,1998,2702,2633,69,LBY
Lybia,Arabs,1999,2954,2901,53,LBY
Lybia,Arabs,2000,3028,3006,22,LBY
Lybia,Arabs,2001,3324,3335,-11,LBY
Lybia,Arabs,2002,3623,3600,23,LBY
Lybia,Arabs,2003,3451,3489,-38,LBY
Lybia,Arabs,2004,4297,4248,49,LBY
Lybia,Arabs,2005,3519,3492,27,LBY
Lybia,Arabs,2006,2626,2656,-30,LBY
Lybia,Arabs,2007,2758,2708,50,LBY
Lybia,Arabs,2008,2964,2936,28,LBY
Lybia,Arabs,2009,3913,3888,25,LBY
Lybia,Arabs,2010,4570,4559,11,LBY
Lybia,Arabs,2011,2484,2338,146,LBY
Lybia,Arabs,2012,5094,5115,-21,LBY
Lybia,Arabs,2013,5837,5837,0,LBY
Lybia,Arabs,2014,5680,5632,48,LBY
Lybia,Arabs,2015,4399,4498,-99,LBY
Lybia,Arabs,2016,3512,3600,-88,LBY
Lybia,Arabs,2017,2757,2801,-44,LBY
Lybia,Arabs,2018,2711,2667,44,LBY
Mauritania,Arabs,1996,169,147,22,MRT
Mauritania,Arabs,1997,171,141,30,MRT
Mauritania,Arabs,1998,168,167,1,MRT
Mauritania,Arabs,1999,166,156,10,MRT
Mauritania,Arabs,2000,145,158,-13,MRT
Mauritania,Arabs,2001,129,144,-15,MRT
Mauritania,Arabs,2002,210,209,1,MRT
Mauritania,Arabs,2003,137,134,3,MRT
Mauritania,Arabs,2004,205,200,5,MRT
Mauritania,Arabs,2005,137,140,-3,MRT
Mauritania,Arabs,2006,165,175,-10,MRT
Mauritania,Arabs,2007,128,123,5,MRT
Mauritania,Arabs,2008,196,197,-1,MRT
Mauritania,Arabs,2009,233,223,10,MRT
Mauritania,Arabs,2010,182,194,-12,MRT
Mauritania,Arabs,2011,179,176,3,MRT
Mauritania,Arabs,2012,221,220,1,MRT
Mauritania,Arabs,2013,194,194,0,MRT
Mauritania,Arabs,2014,244,225,19,MRT
Mauritania,Arabs,2015,272,273,-1,MRT
Mauritania,Arabs,2016,322,311,11,MRT
Mauritania,Arabs,2017,352,340,12,MRT
Mauritania,Arabs,2018,307,303,4,MRT
Morocco,Arabs,1996,1210,1164,46,MAR
Morocco,Arabs,1997,1810,1764,46,MAR
Morocco,Arabs,1998,2004,2002,2,MAR
Morocco,Arabs,1999,2525,2525,0,MAR
Morocco,Arabs,2000,2801,2674,127,MAR
Morocco,Arabs,2001,3602,3610,-8,MAR
Morocco,Arabs,2002,4165,4113,52,MAR
Morocco,Arabs,2003,4044,3981,63,MAR
Morocco,Arabs,2004,4692,4714,-22,MAR
Morocco,Arabs,2005,3859,3722,137,MAR
Morocco,Arabs,2006,4584,4520,64,MAR
Morocco,Arabs,2007,3642,3479,163,MAR
Morocco,Arabs,2008,5281,4900,381,MAR
Morocco,Arabs,2009,7503,7387,116,MAR
Morocco,Arabs,2010,7830,8417,-587,MAR
Morocco,Arabs,2011,6318,6156,162,MAR
Morocco,Arabs,2012,6219,6274,-55,MAR
Morocco,Arabs,2013,6767,6767,0,MAR
Morocco,Arabs,2014,6472,6465,7,MAR
Morocco,Arabs,2015,7192,7144,48,MAR
Morocco,Arabs,2016,7328,7315,13,MAR
Morocco,Arabs,2017,8933,8960,-27,MAR
Morocco,Arabs,2018,9426,9202,224,MAR
Tunisia,Arabs,1996,1979,2078,-99,TUN
Tunisia,Arabs,1997,2633,2726,-93,TUN
Tunisia,Arabs,1998,3414,3209,205,TUN
Tunisia,Arabs,1999,4026,3959,67,TUN
Tunisia,Arabs,2000,3605,3561,44,TUN
Tunisia,Arabs,2001,4295,4319,-24,TUN
Tunisia,Arabs,2002,4964,4534,430,TUN
Tunisia,Arabs,2003,5118,4962,156,TUN
Tunisia,Arabs,2004,9711,9412,299,TUN
Tunisia,Arabs,2005,4146,3997,149,TUN
Tunisia,Arabs,2006,3831,3999,-168,TUN
Tunisia,Arabs,2007,2834,2751,83,TUN
Tunisia,Arabs,2008,3891,3478,413,TUN
Tunisia,Arabs,2009,6376,5850,526,TUN
Tunisia,Arabs,2010,7642,7430,212,TUN
Tunisia,Arabs,2011,5973,6430,-457,TUN
Tunisia,Arabs,2012,6143,6387,-244,TUN
Tunisia,Arabs,2013,5547,5547,0,TUN
Tunisia,Arabs,2014,5729,5617,112,TUN
Tunisia,Arabs,2015,7035,7126,-91,TUN
Tunisia,Arabs,2016,7685,7546,139,TUN
Tunisia,Arabs,2017,8756,8673,83,TUN
Tunisia,Arabs,2018,8970,8936,34,TUN
Palestinian refugee in Lebanon,Special Categories,1996,23801,25527,-1726,0
Palestinian refugee in Lebanon,Special Categories,1997,28316,31681,-3365,0
Palestinian refugee in Lebanon,Special Categories,1998,29921,33939,-4018,0
Palestinian refugee in Lebanon,Special Categories,1999,57607,58704,-1097,0
Palestinian refugee in Lebanon,Special Categories,2000,58343,61400,-3057,0
Palestinian refugee in Lebanon,Special Categories,2001,61721,63113,-1392,0
Palestinian refugee in Lebanon,Special Categories,2002,65189,66844,-1655,0
Palestinian refugee in Lebanon,Special Categories,2003,68884,70294,-1410,0
Palestinian refugee in Lebanon,Special Categories,2004,75634,76827,-1193,0
Palestinian refugee in Lebanon,Special Categories,2005,73216,75818,-2602,0
Palestinian refugee in Lebanon,Special Categories,2006,78752,80715,-1963,0
Palestinian refugee in Lebanon,Special Categories,2007,91070,90762,308,0
Palestinian refugee in Lebanon,Special Categories,2008,101229,102606,-1377,0
Palestinian refugee in Lebanon,Special Categories,2009,107325,108320,-995,0
Palestinian refugee in Lebanon,Special Categories,2010,117560,118527,-967,0
Palestinian refugee in Lebanon,Special Categories,2011,86199,85953,246,0
Palestinian refugee in Lebanon,Special Categories,2012,65995,65882,113,0
Palestinian refugee in Lebanon,Special Categories,2013,52846,52846,0,0
Palestinian refugee in Lebanon,Special Categories,2014,56252,58324,-2072,0
Palestinian refugee in Lebanon,Special Categories,2015,60213,62977,-2764,0
Palestinian refugee in Lebanon,Special Categories,2016,61503,61623,-120,0
Palestinian refugee in Lebanon,Special Categories,2017,65941,67846,-1905,0
Palestinian refugee in Lebanon,Special Categories,2018,68412,70125,-1713,0
Foreign Palestinian,Special Categories,1996,404,269,135,0
Foreign Palestinian,Special Categories,1997,400,397,3,0
Foreign Palestinian,Special Categories,1998,427,397,30,0
